,Comment,Likes,Time,UserLink,user
282,"THIS ONE WILL BE THE BEST BY FAR, OFC BETTER THAN APPLE'S iphone 14",33,2 months ago,,
283,I love this,0,2 months ago,,
284,Brilliant!!!,0,2 months ago,,
285,Gosh I need to switch my Fold 4 to this now 🫡,0,2 months ago,,
286,"The ultra needs to have a 2TB variant while the the S+ should have a 1TB variant since SD cards have been removed, just hope they make the larger storage options much cheaper to make up for the removal of the SD cards.",0,2 months ago,,
287,Man this video is so good its making me wanna buy this phone even tho i can't  afford it,0,2 months ago,,
288,Samsung ️,3,2 months ago,,
289,I just pre ordered the S23 ultra in lime color! Can't wait to get it and put it in a black otter box LOL,2,2 months ago,,
290,Again! INCREDIBLE by Samsung! Thanks guys! See ya,1,2 months ago,,
291,I like the presetation,1,2 months ago,,
292,It's pretty much the same as Samsung Galaxy S22. Not much of a huge difference and upgrade.Except for it's camera more powerful and bit more extra features. Otherwise both the series and model are pretty much similar. S22 and S23.,0,2 months ago,,
293,The flagship of flagships,0,2 months ago,,
294,Watching this masterpiece on my Note 9.. I guess it’s time to upgrade,5,2 months ago,,
295,I like when smartphones commercials try to push as much as it is possible unnecessary stats into commercials,0,2 months ago,,
296,That's Awesome,0,2 months ago,,
297,Best Android phone to grab right now. Well executed Samsung!,1,2 months ago,,
298,S23 Ultra Cringe,0,1 month ago,,
299,I'm am glad that I now own the galaxy S23 ultra,0,2 weeks ago,,
300,My s20 ultra still runs fine. I can wait a couple more years until I pick this up for cheap. Says a lot.,3,2 months ago,,
301,"What about the battery? We need a powerful optimization like, you know, and it will be a very nice evolution for that beautiful phone.",0,2 months ago,,
302,"If they just make the software on par with how friendly ios’ software is, id get it",0,2 months ago,,
303,I love the camera,0,2 months ago,,
304,The trade-in value was horrible for the s22 ultra so I'll just wait m I do like the upgrade it features like the better camera and allegedly longer battery life. Not to mention the less curves are appealing. And I make commission from the sales of these from SAMSUNG.,0,2 months ago (edited),,
305,What about battery timings? Can it compete Apple iPhone 14 Pro??,0,2 months ago,,
306,"Now we feel the real innovation, Galaxy S23 series feels the power",8,2 months ago,,
307,It's kinda cringe though,0,2 months ago,,
308,Maybe I'll still stick with my S22 Ultra,0,2 months ago,,
309,"Very Interesting Video,  i like itone day i will buy galaxy s23 Ultra, my dream",0,2 months ago (edited),,
310,It's incredible that Samsung Galaxy is taking pictures of real galaxy,0,2 months ago,,
311,Awesome,0,2 months ago,,
312,"1:26 ""Image simulated for illustrative purposes"" LOL",5,2 months ago,,
313,"I was not planning to move on Samsung after my Samsung S10 Plus (that was a bad experience with Samsung then I have purchased OnePlus 7Pro) but was planning for Samsung post launch of S22 ultra because of the design and waited for a year to price drop.And now Samsung S23 Ultra launched and with the corporate offer I got it at the same price of S22 Ultra.
Loving this monster and in my office people who are having iPhone 14 Pro Max..they are asking for exchange with their device",0,3 weeks ago (edited),,
314,"Samsung 
Pay more 
Get Less",0,2 months ago,,
315,I bought the S21 ultra and I thought of using it till maybe S25 or 26 but S23 seems really promising and I just ordered mine  Samsung you're really gonna make me poor,1,1 month ago,,
316,Wow never seen an ad like this wonderful amazing,0,2 months ago,,
317,I'm getting one at the end of the year,0,2 months ago,,
318,Fix the signal issues with the S22 Ultra first and then we can talk about this one.,3,2 months ago,,
319,Just upgraded to this from S21 Ultra.,0,2 months ago,,
320,One of the reasons I want a new job with good salary,0,2 months ago,,
321,perfect for valentines day,1,2 months ago,,
322,Any new features on Note taking with S pen?? S pen is the main reason many of my friends like this phone.,1,2 months ago,,
323,Love this commercial,0,2 months ago,,
324,bro said thank you and Died,5,2 months ago,,
325,Yes Sir!!! all I keep hearing is good things about this phone The new S23 ultra. I just purchased mine today  (256 gb phantom black )can't go wrong of course. The great thing is i only Paid $559!! for a brand new S23 ultra of course with a trade in my old (Samsung S22 ultra) awesome deal!!!,0,3 weeks ago,,
326,Nothing wen compared to S22 ultra other than 200pxl and processor. No need to upgrade from my S22 ultra,0,2 months ago,,
327,"yep i have to say i've been a samsung fan since 2003 , that's 20 years of loyalty",0,2 months ago (edited),,
328,I have the s22 ultra so I wasn't really impressed until it showed Astrophoto!? The only reason I'm even thinking about upgrading already,1,2 months ago,,
329,I have to buy it after 6-8 months later!,0,2 months ago,,
330,"his reaction is funny though.""expert who""",3,2 months ago,,
331,This is the most amazing of all  you Samsung,0,2 months ago,,
332,"So much powerful, imagine someone able to remote hack the phone and increase it's temperature making it overheat then explode.",0,4 days ago,,
333,Wow,0,2 months ago,,
334,Yes the zoom gimmick . It all makes sense now.,0,1 month ago,,
335,I can't wait,0,2 months ago,,
336,So cOOl,3,2 months ago,,
337,Super dope ️,0,2 months ago,,
338,It's fun and all.. but with all those features I wonder what the battery life is like. And if you turn it into power saving mode you probably won't be able to get all those features,0,2 months ago,,
339,That's great,0,2 months ago,,
340,Thank God at last Someone is doing best to compete with iPhoneI hope Samsung makes more incredible smartphones in best price segment,0,2 months ago,,
341,Love the video!,0,2 months ago,,
342,Unbeliveable Innovations,4,2 months ago,,
343,Everything is new inside that what matters design is already cool,0,2 months ago,,
344,good but cringe,1,2 months ago,,
345,Though I can't afford this phone but I'll suggest them who has ability to buy must check this phone. Best wishes for S23 Ultra !,0,2 months ago,,
346,"Make sure the z fold 5 has an ULTRA version, so the front screen is wider, and the media on the inner screen is also larger than on a regular phone",1,2 months ago,,
347,Im upgrading mine i have a note 9 so excited to get the S23ultra,0,2 months ago,,
348,"Since the snapdragon 8 gen 2 support recording videos in 8k 60 fps, please add the ability to record 8k 60 fps in an software update, @Samsung",6,2 months ago (edited),,
349,Amazing piece of marketing,0,2 months ago,,
350,What a boring update. Galaxy Note 20 Ultra is still the best.,0,2 months ago,,
351,Epic intro,0,2 months ago,,
352,I mean it looks cool and all but these upgrades always look cool and they end up not really being that different than the previous generation.,0,2 months ago,,
353,Watching on my Galaxy Grand prime. Nice,1,2 months ago,,
354,"Every single year, their official introduction films always amaze me. Idk who comes up with these ideas but I applaud you",8,2 months ago,,
355,That's an EPIC commercial..... Love s23,2,2 months ago,,
356,Remember the good old days when a flagship cost only 500 euros. RIP,1,2 months ago,,
357,So cool!! I think imma switch to samsung,1,2 months ago,,
358,"It's a new era, you know for Samsung it's clearly understandable!",0,2 months ago,,
359,I must pre order this,0,2 months ago,,
360,It's basically the same as my S22 Ultra just with slightly small amount of features. So no point of upgrading . . .,3,2 months ago,,
361,Boring,0,2 months ago,,
362,Welp nothing crazy...Miss the old days where innovations was inovations,2,2 months ago,,
363,Impressive,0,2 months ago,,
364,With such a powerful phone can you guys finally add controller support to genshin  or make a deal with them,0,2 months ago (edited),,
365,Next level promotion,0,2 months ago,,
366,"An Introduction of everything, but nothing new!",3,2 months ago,,
367,"I love it,",0,2 months ago,,
368,"You had me at ""Can you send me that?"", not gonna lie.",0,2 months ago,,
369,"This is awesome, I can't wait to buy this when I have money, wohooo!! Hehe....",0,2 months ago,,
370,I cant wait to go to the moon with this phone!,0,2 months ago,,
371,Best “samsung introducing” trailer ever,0,2 months ago,,
372,They need to make the Ultra flat-screened.,11,2 months ago,,
373,Lols everything is copied from iOS and nothing new,0,2 months ago,,
374,I wish people would see that iPhones are just iPods that can call and text but that Samsung are computers that can call and text. Massive difference between the two. No limitations what so ever with Samsung it's truly like carrying around a really small laptop.,0,2 months ago,,
375,Brilliant Mobile phone,0,2 months ago,,
376,I prefer my 14 pro but this is still a nice phone nonetheless.,0,2 months ago,,
377,Is it same price as last year s22 ultra?,0,2 months ago,,
378,"I just got this phone today, this phone is an absolute beast!Gaming experience, video, picture quality was amazing!! the preformance on games were great via the snapdragon processor! no lags or stuttering :)",3,2 months ago,,
379,Samsung S are now become the perfect phone. Literally no complain from past 2 year.,0,2 months ago,,
380,"A slightly faster processor, slightly better GPU, and a slightly better screen.... to the extreme! New camera is nice. But its biggest innovations are in AI software, not in the hardware.",0,2 months ago,,
381,Just gonna get the s23 ultra when I save up,0,2 weeks ago,,
382,Very nice . After 4 months you need to charge the battery twice a day,0,2 months ago,,
383,I lost into it while watching this commercial...,0,2 months ago,,
384,same question as well xD,3,2 months ago,,
385,A phone without a curved screen would be the best feature ever!,0,2 months ago,,
386,THIS IS HOW  A COMMERCIAL SHOULD BE…!!!!!,0,2 months ago,,
387,This phone is really something impactful,0,2 months ago,,
388,Best smart phone commerical in years.,0,2 months ago,,
389,"Now, I can buy the s22 Ultra...",0,2 months ago,,
390,MBAPPE??,8,2 months ago,,
391,I'm seriously considering now that they dropped the exynos chips altogether.,0,2 months ago,,
392,"Great cameras, screen and performance. Not sure of S Pen though.",1,2 months ago,,
393,"Perfect, so i can buy my j7 prime finally.",0,2 months ago,,
394,THE KING IS HERE,1,2 months ago,,
395,the best smartphone ever created!!!,0,3 weeks ago,,
396,Can't Samsung really put the accessories of the phone all in one box with the phoneWhy do I have to buy the accessories when I've already paid alot for just a phone that will be outdated within a year. They are called accessories because they come with it (all in one).That truly so unfair and against humanity why are they repeating the same disgusting thing that apple did. I really loved Samsung so much and I don't think they should disappoint their fans just like that.They say they are considering environment hey really man ! Instead of get it all in one boxI am buying a phone in a separate boxThe charger in another boxThe headphones in another as well as the USB and other accessoriesSo how can this be considering the environment.I just hope Samsung could reconsider their actions and consider humanity,3,2 months ago,,
397,"I’m waiting for payday. I’m going to upgrade to this from iPhone. This feels like it could really be useful. Also, Android would be a little better for my job in IT than iPhone.",0,2 months ago,,
398,disappointed,0,2 months ago,,
399,"I chose this, because of camera and nice number in my life memories.",0,2 months ago,,
400,Outstanding,0,2 months ago,,
401,Have a s22 ultra. Best phone ive owned without a doubt !,0,2 months ago,,
402,Awesome Samsung Galaxy S23 Ultra,0,2 months ago,,
403,Is 100 x zoom is not available in galaxy s23???,0,2 months ago,,
404,Just wanna say.. My heart goes to the entire community for Amazons LPA33X building up something which is worth it for everyone. This is so smart by them to launch it to shatter the doubts and fears of the common folk which shouldn't even exist to begin with. Everyone knows the state of inflation and recession now and the way out is already in progress. Now it's just about catching the big fish,0,2 months ago,,
405,I think this is the best advertisement of any phone that i ever see. Best way of displaying the features in this manner.,0,2 months ago,,
406,Really really awesome phone ever in Samsung series,1,2 months ago,,
407,Dang!!! I'm an iPhone user with a 13 Pro Max ever since Samsung ditched the Note series!! I was a total Note fan since I was a kid & was to buy the latest Note when i finish my school then they ditch Note! (2021). So I went with Apple BUT now mannn I wanna turn back again kinda. This is truly nxt lvl!! Especially so far the coolest Note ad I've seen! Brings back so many memories... I think this is the one of the top 10s best ad's I've watched...! thank you Samsung <3,0,2 months ago,,
408,Well done samsung!!!!,0,2 months ago,,
409,"If samsung is following apple with no proper design and price update, I think I've made the good decision to pick pixel 7 pro. Google as a holistic has got all in one with good design and good configuration and good price.",0,2 months ago,,
410,The most boring ad ever,0,2 months ago,,
411,10 /10,0,2 months ago,,
412,"As an s23 ultra, I can confirm I'm getting alot of respects today!.Yes im smart enough that i can even type hehe",0,2 months ago,,
413,Tell me whats the different from s22 ultra? Since i got not good experiences after buying s22 ultra.,0,2 months ago,,
414,"Definitely worth the buy. Best features are enhanced cameras, upgraded s-pen, exclusive exterior, longer lasting battery and efficient on screen experience.",0,2 months ago,,
415,And I'm here waiting for any Youtuber to giveaway this since I'm being a fan to them always.,0,2 months ago,,
416,Still in s7 edge...they are getting  better and I'm still in unaffordable margin...,0,2 months ago,,
417,Oscar level advertisement,0,2 months ago,,
418,I was digging the universe part felt like I was there since I am high,0,2 months ago,,
419,soo cringe,0,2 months ago,,
420,"BGM is out of this world, please can anybody tell me where can I get its full version?",0,2 months ago,,
421,It would have been cherry on top if Juan (from ThatWasEpic) walked in after the actor said that was epic in the last seconds.,1,2 months ago,,
422,Iam a s21 owner . Iam so hyped for this,0,2 months ago,,
423,"God, it's so good, Can I catch it!️",0,2 months ago,,
424,no design,0,2 months ago,,
425,That's phone is quite unique,0,1 month ago,,
426,If only it had an expandable memory card slot.   I would fill the internal storage in no time with 200 megapixel images,0,2 months ago,,
427,Awesome Samsung s23..,0,1 month ago,,
428,Alright this was an awesome video,0,2 months ago,,
429,Make sure you guys fixed the backglass adhesive issue.,0,2 months ago,,
430,wow,0,2 months ago,,
431,It’s okay to say that both Samsung and Apple are underwhelming.,2,2 months ago,,
432,"This video production amazing, creative",1,1 month ago,,
433,Do we get student discounts for thee S23 ultra too? looks like it could be a great use for school.,0,2 months ago,,
434,"The lack of expandable storage is a huge deal! I have over 100gb of data on my SD and now I'll have to fork out hundreds of more $$$ just to fit my files!? Everything looks good, nothing groundbreaking though but it's definitely a somewhat good upgrade from my note 20 ultra 512gb which I got the sh!tty exynos chip with but is it really worth all that money for slightly better performance in the processor and camera? I guess we'll see.",0,2 months ago,,
435,"I love samsung, the color is so pretty and delicate.",1,1 month ago,,
436,Samsung commercials are ground breaking.,1,2 months ago,,
437,Wow. that's new.,0,2 months ago,,
438,I just love her attitude,0,1 month ago,,
439,"The fact that Samsung has comments on and the iPhone 14 pro video has comments off shows Samsung’s outstanding confidence (just a bit of comment bot removal would be much appreciated, though!)",1,2 months ago,,
440,Galaxy S23 is the most beautiful Samsung phone EVER !!! I want to buy the Galaxy S23 Plus Green colour,1,2 months ago,,
441,Ad is so impressive,0,2 months ago,,
442,great phone,0,2 months ago,,
443,I can get a $100 upgrade to this from my s22 ultra is it even worth it? The only thing that seams to be different is that is has a snapdragon 8 gen 2 and a 200mp main lense. Is it worth it for $100?,0,2 months ago (edited),,
444,Not really that crazy just the 200 mp is wild,1,2 months ago,,
445,I love Samsung,0,2 months ago,,
446,I think they can create a more innovative smartphone. Also I think the design could be better than what they offer. They can build a long-lasting battery in smartphones. A better helpful voice assistant that can better handle multiple tasks at once.Please suggest a better smartphone!Thank you.,0,2 months ago,,
447,"can't lie , samsung are always innovative with their commercials",0,2 months ago (edited),,
448,"Want to know why this year everything will be different and for long time actually better? The answer is all in Amazons LPA33X and I have never been that excited for a long time, thank you for providing home and food for my kids",1,2 months ago,,
449,im going to buy a new phone and i dont know what to choose whether samsung S23 ultra or the iphone 14 pro max which is better?,0,2 months ago,,
450,"Woah, this advertisement felt like 2013
Edit: And that’s a good thing :)",0,2 months ago (edited),,
451,Nice ️,0,2 months ago,,
452,"Samsung helps to realize my passion as a content creator. I make vlogs using Samsung S21+ and ZFlip3, many viewers think I'm using a professional camera. can't wait to upgrade to s23 series",0,2 months ago,https://www.youtube.com/channel/UCvUOKHkiWnvZUyMk6ALvFtQ,
453,"While I still prefer Apple, I am genuinely happy for Samsung users that the S23 is this cool.",0,2 months ago,,
454,Will the Victus touch screen get scratched by finger touch in the long term?,0,10 days ago,,
455,The BGM ️️,0,2 months ago,,
456,Dream phone...,0,2 months ago,,
457,"Honestly I couldn’t tell the difference physically but yeah internals change, good job apple",0,2 months ago,,
458,i love watching videos of phones ill never be able to own,0,2 months ago,,
459,Wow,1,2 months ago,,
460,"I just got my s22 ultra that past June holy, nah gonna stick with mine for another year or so.",1,2 months ago,,
461,Love Samsung,0,2 months ago,,
462,I use iPhone 12 & I really don’t feel any need to move ever toS22/23.IPhones are blessings️,0,2 months ago (edited),,
463,"So the only difference from the S22 Ultra is the new 200MP rear camera. But they've downgraded the front camera from 40MP to... 12MP? Why on earth would they do that when selfie cameras are in many cases used more than the rear? Bored of the front cameras being neglected now. Ended up with countless fuzzy poor family shots, video calls etc. because of it. I love my S22 Ultra. This upgrade is definitely a waste of time. I'd honestly prefer them to just release a new model every 2-3 years so the upgrades between each are actually worth it. No battery upgrade in the S23 either. Again, love the Ultra series! But make the upgrades worth the money please Samsung!",0,2 months ago,,
464,my dream phone,0,5 days ago,,
465,"Forgot to mention, price is also epic",0,2 months ago,,
466,Excellent video,0,2 months ago,,
467,Sometimes i feel that I am so blessed with technology due to Samsung. My experience with Samsung is like heaven. We poor minds don't deserve such high technologies.Thank you Samsung,0,2 months ago,,
468,"l've been a long time Samsung user, mostly the Note series until last year when I switched to the S22 Ultra. Each year I sign up for the pre-order deals and usually end purchasing thru the ShopSamsung app instead of a carrier. Samsung usually provides a generous trade-in for the previous year's flagship. This year that's gone and switched a carrier credit trade-in over 24 months. This doesn't work for me as I usually upgrade annually. If you do trade within the 24 months, you'll lose all and have to pay full price. There's the unlockedversion that is offering was only $500. That`s not acceptable! This should be $1,000. I'll keep my $22 Ultra until you wake up and fix yourself.",0,2 months ago,,
469,"Every year with new surprise..... Still waiting, when I get one.",1,2 months ago,,
470,The battery life upgrade it's what I was waiting to move back to Android,0,2 months ago,,
471,I would trade my 14 pro for it but the trade in from what I seen is way to low,1,2 months ago,,
472,"Wow I am amazed at what Samsung does every year with the s-series and especially the s23 ultra, for me there is no competitor to the Samsung, which is the strongest and the best in everything . Love your Samsung ️️️",0,2 months ago,,
473,wow amazing samsung phone,1,2 months ago,,
474,Samsung has the best adverts out of the whole mobile industry no doubt!,0,2 months ago,,
475,Upgrading from Note10+ to this.,0,2 months ago,,
476,"Welp, guess I'll be keeping my S22 Ultra for the next 6 years. I see no reason to upgrade especially with the price tag being Exactly the same at 1200 USD. and that's both s22 ultra and s23 ultra  with 256 gb.",0,2 months ago,,
477,Samsung garbage of the century,0,2 months ago,,
478,Very good!!!!!!!!!!,0,2 months ago,,
479,Wow that’s incredible acting !,0,2 months ago,,
480,Hey Samsung ! I love your phones specially that one Samsung S23 ultra and i want that but i can't .. But in future i will. It's so fantastic,0,2 months ago,,
481,Cringe af.,1,2 months ago,,
482,I have  a21s  it was  very  good  performance Thank  you  samsung   company.,0,2 months ago,,
483,S sirish is amazing ️,0,2 months ago,,
484,We want in built photographic styles and a separate engine for photos and videos on Samsung flagship series....,0,1 month ago,,
485,Over promotion,0,2 months ago,,
486,"Try next time for Samsung S 24 to look, like a smaller size S 23 Ultra. I mean the shape in the corners to be the same as the note. A smaller size Note for people with small hands, change the corners of the screen",0,1 month ago (edited),,
487,"I have been using samsung phones since the beginning of galaxy, but I always wanted better color options and wanted the gold color like the iPhone 14 pro, I'm actually considering switching to iPhone just for that reason",0,2 months ago,,
488,So this is essentially nothing more than just a night mode boost??,0,2 months ago,,
489,awesome video.,0,3 weeks ago,,
490,Nothing new,0,2 months ago,,
491,I've see nothing new here. These phones are already at their limit,0,2 months ago,,
492,"I wish Samsung launched a  5.4"" screen sized phone cause sometimes heavy and large phones are just burden",0,2 months ago,,
493,another worst samsung phone,0,2 months ago,,
494,Not impressed,0,1 month ago,,
495,"Since the s20/s21, Samsung has not innovate much. The galaxy simply became the note. It’s clear all the R&D is going towards their foldables. People had a reason to go for Samsung 2-3 years ago instead of apple because they were getting new FUN stuff. But now, the iPhone seems like a much more logical phone to get.",0,2 months ago,,
496,We need a Gaming Phone with a minimum battery capacity of 8000mAh,0,2 months ago,,
497,I have Samsung and I like it so much,1,2 months ago,,
498,"This is great, I’ve always wanted to go scuba diving.",0,2 months ago,,
499,The best ad I've ever seen,0,2 months ago,,
500,If the S series has the pen now are they even going to make anymore note series?,0,2 months ago,,
501,I wish Samsung would give its galaxy phones a holographic keyboard someday,1,2 months ago,,
502,Need to change my s9+ and note 10. I want this phone!,0,2 months ago,,
503,Why is Apple doing the coolest commercial and presentation?,0,2 months ago,,
504,"Honest criticism - I'm not impressed.
No actually useful innovation present.

What I would really like - 10+ hrs battery life
And bring back the 3 5mm headphone jack",0,2 months ago,,
505,"The most underwhelming phone premiere I've see to date. The main narrative was about the camera as if a device that is as versatile as a smartphone (being in many case almost as powerful as laptops nowadays) is used primarily and almost exclusively to create content on different levels. So we got buried in even more megapixels (which mean little as I'm sure a lot of photography pros know) and more lenses and more FPS. What happened to innovation to the ecosystem? The UI? Satellite connectivity? Emergency features? Crash detection? Faster battery charging? eSim? Anything new? Anything? I'm still rocking an S10 which does everything exactly the same way the new S23 does. Why would I change? I don't shoot Aliens:Covenant on my phone, nor do I ever intend to. Are the Samsung phones now targeted exclusively towards wannabe cinematographers and photographers? Hard pass for me.",0,2 months ago,,
506,"In so many ways the worst is behind us. Amazons LPA33X does the EXACT right thing to turn around and everyone reacts already, whether that is big companies or just individuals it's a global revolution and not to be missed. But I am just a guy commenting, you should make your own mind on this",0,2 months ago,,
507,So cool !It's finally time to free my old Note 10.,1,2 months ago,,
508,"Samsung is not a brand, it's an emotion",2,2 months ago,,
509,"Wish I could get this masterpiece..
Well...
""My low budget account says hi""",0,2 months ago (edited),,
510,"regardless, I will buy the phone, but I felt like the commercial could have been better. The s10 commercial is my favorite so far.",0,2 months ago,,
511,"I think it's safe to say that Samsung innovates MUCH more than their biggest (fruity) competitor is comfortable acknowledging.
""Samsung: Reminding 'em who's King !""",0,2 months ago,,
512,Bro felt like an movie,0,3 weeks ago,,
513,Samsung phone exist too much bug while use,0,2 months ago,,
514,Cringy,1,2 months ago,,
515,"Probably it is a good phone BUT considering the pricing differences between US and Europe it totally does not make any sense to buy it outside of US. In US seems to be 150 USD cheaper and you also get an extra 150 usd credit for the buds pro, so in total almost 300 USD difference for the same 512GB version. In Europe the preorder credit is included in the already higher price. I was intrested in the phone but I will mot buy it while there is such a big gap in price without any justification. I do not want to encourage this so  for me it will definately not be worth it. Maybe when there is the same price across the board I might take a look at it again if I will still be in the market for a new phone. Till then there are alot more equitable brands out there.",0,2 months ago (edited),,
516,"So they got rid of the ""Note"" name and are calling it S23 Ultra instead",0,2 months ago,,
517,Mine comes tomorrow before 8pm,0,2 months ago,,
518,That was fun ngl,0,2 months ago,,
519,I like the shade of green .,0,1 month ago,,
520,It looks just like like my 22 ultra with small upgrades idk if it's worth the money,0,2 months ago,,
521,We need Burgundy color of S23 ultra in market. It's very nice looking.,0,2 months ago,,
522,Only Samsung S series can introduce new innovations and designs,0,1 month ago,,
523,I'm selling my Note 20 Ultra and getting me one of these,1,2 months ago,,
524,"I wish the phone design colours was more retro and cool, fun rather than looking like a corporate phone. Have fun colours like army green, hologram (Samsung note 10+), vintage red, copper, silver metallic etc",0,2 months ago,,
525,Purpose of typical communication is de-prioritized by new mobile phone manufacturers. USPs are not typical communications but digital communication. Interesting.,0,2 months ago,,
526,My Dream S23 Ultra 🇧🇩I'm Big Fan  with Samsung ️,0,2 months ago,,
527,so exited to see iphone 15 this year.... the most powerful smartphone ever.... love it,0,2 months ago,,
528,So basically smartphones are camera  devices with ability to make calls  (⁠~⁠‾⁠▿⁠‾⁠)⁠~,1,2 months ago,,
529,"20% is not much, better say: ""The new Galaxy S23 contains 80% non-recylable material"". With the planet in mind! YAY",0,2 months ago,,
530,No difference,0,1 month ago,,
531,"2010 : hey, my phone has a camera2023: my camera has a phone",0,2 months ago,,
532,I don't ever see this much excitement on a boring iPhone. Samsung is really killing it with the s23 lineup. I'm gonna trade my s22 ultra for the 23 ultra,0,2 months ago,,
533,Amazing video,0,2 months ago,,
534,"The video is cool but this doesn't really bring anything important that I don't have on my S21 Ultra.Hopefully by the S24 we'll have an assistant AI, since you guys built an NPU in.",0,2 months ago,,
535,"Nothing is new, just a little stupid update.",0,2 months ago,,
536,great finishing music,2,2 months ago,,
537,I wish you didn’t remove the expandable storage.,0,2 months ago,,
538,What do I have to do to get one?,0,2 months ago,,
539,BIG AND BEAUTIFUL DISPLAY!,1,2 months ago,,
